???,??,3x6??,4x8??
???????,12,5800,10200
???????,15,6500,11500
???????,18,7200,12000
???????,21,7800,13500
???????,24,8800,14500
???????,30,9950,16800
???????,15,7500,13000
???????,18,8000,14000
???????,21,8800,16000
???????,24,9700,17200
??????,12,1900,3250
??????,15,2250,3600
??????,18,2500,4000
??????,21,3000,5100
??????,24,3500,6000
??????,30,4500,7400
?????,3,1950,3600
?????,4,2000,3700
?????,5.5,2500,5300
?????,9,4300,9200
?????,12,5300,11000
?????,15,6800,14000
?????,18,8300,17000
?????,21,10000,20000
?????,24,12000,22800
??????,2.5,850,1950
??????,3,1380,
??????,4,1200,2400
??????,5.5,1500,2600
??????,9,1950,3700
??????,12,2500,4700
??????,15,3350,6400
??????,18,4000,7700
??????,21,4700,9000
??????,24,5300,10500
??????,30,,
